row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
914	clean	12	12	0		0	
915	clean	12	12	0		0	
916	clean	8	8	0		0	
917	clean	14	14	0		0	
918	clean	7	7	0		0	
919	clean	8	8	0		0	
920	clean	10	10	0		0	
921	clean	2	2	0		0	
922	clean	3	3	0		0	
923	clean	2	2	0		0	
924	clean	13	13	0		0	
925	clean	8	8	0		0	
926	clean	18	18	0		0	
927	clean	15	15	0		0	
928	clean	10	10	0		0	
929	clean	13	13	0		0	
930	clean	18	18	0		0	
931	clean	6	6	0		0	
932	clean	2	2	0		0	
933	clean	7	7	0		0	
934	clean	7	7	0		0	
935	clean	2	2	0		0	
936	clean	9	9	0		0	
937	clean	7	7	0		0	
938	clean	6	6	0		0	
939	clean	14	14	0		0	
940	clean	6	6	0		0	
941	clean	4	4	0		0	
942	clean	7	7	0		0	
943	clean	7	7	0		0	
944	clean	3	3	0		0	
945	clean	1	1	0		0	
946	clean	4	4	0		0	
947	clean	10	10	0		0	
948	clean	26	26	0		0	
949	clean	12	12	0		0	
950	clean	11	11	0		0	
951	clean	10	10	0		0	
952	clean	1	1	0		0	
953	clean	6	6	0		0	
954	clean	10	10	0		0	
955	clean	9	9	0		0	
956	clean	7	7	0		0	
957	clean	8	8	0		0	
958	clean	7	7	0		0	
959	clean	4	4	0		0	
960	clean	3	3	0		0	
961	clean	4	4	0		0	
962	clean	10	10	0		0	
963	clean	7	7	0		0	
964	clean	11	11	0		0	
965	clean	18	18	0		0	
966	clean	24	24	0		0	
967	clean	12	12	0		0	
968	clean	13	13	0		0	
969	clean	8	8	0		0	
970	clean	3	3	0		0	
971	clean	3	3	0		0	
972	clean	12	12	0		0	
973	clean	15	15	0		0	
974	clean	9	9	0		0	
975	clean	2	2	0		0	
976	clean	6	6	0		0	
977	clean	7	7	0		0	
978	clean	9	9	0		0	
979	clean	3	3	0		0	
980	clean	7	7	0		0	
981	clean	24	24	0		0	
982	clean	5	5	0		0	
983	clean	4	4	0		0	
