row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
1313	clean	13	13	0		0	
1314	clean	28	28	0		0	
1315	clean	47	47	0		0	
1316	clean	27	27	0		0	
1317	clean	3	3	0		0	
1318	clean	44	44	0		0	
1319	clean	24	24	0		0	
1320	clean	6	6	0		0	
1321	clean	10	10	0		0	
1322	clean	11	11	0		0	
1323	clean	12	12	0		0	
1324	clean	7	7	0		0	
1325	clean	23	23	0		0	
1326	clean	26	26	0		0	
1327	clean	40	40	0		0	
1328	clean	22	22	0		0	
1329	clean	24	24	0		0	
1330	clean	9	9	0		0	
1331	clean	31	31	0		0	
1332	clean	5	5	0		0	
1333	clean	16	16	0		0	
1334	clean	77	77	0		0	
1335	clean	16	16	0		0	
1336	clean	7	7	0		0	
1337	clean	4	4	0		0	
1338	clean	81	81	0		0	
1339	clean	9	9	0		0	
1340	clean	61	61	0		0	
1341	clean	83	83	0		0	
1342	clean	42	42	0		0	
1343	clean	10	10	0		0	
1344	clean	14	14	0		0	
1345	clean	8	8	0		0	
1346	clean	19	19	0		0	
1347	clean	5	5	0		0	
1348	clean	47	47	0		0	
1349	clean	108	108	0		0	
1350	clean	49	49	0		0	
1351	clean	7	7	0		0	
1352	clean	36	36	0		0	
1353	clean	10	10	0		0	
1354	clean	24	24	0		0	
1355	clean	62	62	0		0	
1356	clean	20	20	0		0	
1357	clean	15	15	0		0	
1358	clean	28	28	0		0	
1359	clean	34	34	0		0	
1360	clean	36	36	0		0	
1361	clean	14	14	0		0	
1362	clean	27	27	0		0	
1363	clean	34	34	0		0	
1364	clean	34	34	0		0	
1365	clean	45	45	0		0	
1366	clean	74	74	0		0	
1367	clean	81	81	0		0	
1368	clean	34	34	0		0	
1369	clean	21	21	0		0	
1370	clean	37	37	0		0	
1371	clean	50	50	0		0	
1372	clean	15	15	0		0	
1373	clean	69	69	0		0	
1374	clean	34	34	0		0	
1375	clean	35	35	0		0	
1376	clean	37	37	0		0	
1377	clean	31	31	0		0	
1378	clean	63	63	0		0	
1379	clean	40	40	0		0	
1380	clean	16	16	0		0	
1381	clean	48	48	0		0	
1382	clean	37	37	0		0	
1383	clean	21	21	0		0	
1384	clean	11	11	0		0	
1385	clean	29	29	0		0	
1386	clean	44	44	0		0	
1387	clean	19	19	0		0	
1388	clean	64	64	0		0	
1389	clean	83	83	0		0	
1390	clean	31	31	0		0	
1391	clean	79	79	0		0	
1392	clean	32	32	0		0	
1393	clean	73	73	0		0	
1394	clean	34	34	0		0	
1395	clean	83	83	0		0	
1396	clean	96	96	0		0	
1397	clean	26	26	0		0	
1398	clean	22	22	0		0	
1399	clean	47	47	0		0	
1400	clean	11	11	0		0	
1401	clean	16	16	0		0	
1402	clean	21	21	0		0	
1403	clean	32	32	0		0	
1404	clean	33	33	0		0	
1405	clean	6	6	0		0	
1406	clean	93	93	0		0	
1407	clean	48	48	0		0	
1408	clean	12	12	0		0	
1409	clean	69	69	0		0	
1410	clean	10	10	0		0	
1411	clean	5	5	0		0	
1412	clean	12	12	0		0	
1413	clean	5	5	0		0	
1414	clean	15	15	0		0	
1415	clean	8	8	0		0	
1416	clean	15	15	0		0	
1417	clean	22	22	0		0	
1418	clean	21	21	0		0	
1419	clean	4	4	0		0	
1420	clean	56	56	0		0	
1421	clean	7	7	0		0	
1422	clean	8	8	0		0	
1423	clean	4	4	0		0	
1424	clean	5	5	0		0	
1425	clean	10	10	0		0	
1426	clean	13	13	0		0	
1427	clean	15	15	0		0	
1428	clean	9	9	0		0	
1429	clean	11	11	0		0	
1430	clean	21	21	0		0	
1431	clean	11	11	0		0	
1432	clean	17	17	0		0	
1433	clean	67	67	0		0	
1434	clean	57	57	0		0	
1435	clean	5	5	0		0	
1436	clean	6	6	0		0	
1437	clean	9	9	0		0	
1438	clean	4	4	0		0	
1439	clean	10	10	0		0	
1440	clean	16	16	0		0	
1441	clean	6	6	0		0	
1442	clean	6	6	0		0	
1443	clean	9	9	0		0	
1444	clean	4	4	0		0	
1445	clean	11	11	0		0	
1446	clean	8	8	0		0	
1447	clean	7	7	0		0	
1448	clean	7	7	0		0	
1449	clean	15	15	0		0	
1450	clean	7	7	0		0	
1451	clean	5	5	0		0	
1452	clean	14	14	0		0	
1453	clean	12	12	0		0	
1454	clean	32	32	0		0	
1455	clean	25	25	0		0	
1456	clean	13	13	0		0	
1457	clean	26	26	0		0	
1458	clean	26	26	0		0	
1459	clean	18	18	0		0	
1460	clean	14	14	0		0	
1461	clean	45	45	0		0	
1462	clean	27	27	0		0	
1463	clean	15	15	0		0	
1464	clean	12	12	0		0	
1465	clean	83	83	0		0	
1466	clean	59	59	0		0	
1467	clean	16	16	0		0	
1468	clean	11	11	0		0	
1469	clean	67	67	0		0	
1470	clean	56	56	0		0	
1471	clean	30	30	0		0	
1472	clean	4	4	0		0	
1473	clean	15	15	0		0	
1474	clean	19	19	0		0	
1475	clean	89	89	0		0	
1476	clean	43	43	0		0	
1477	clean	11	11	0		0	
1478	clean	26	26	0		0	
1479	clean	18	18	0		0	
1480	clean	9	9	0		0	
1481	clean	7	7	0		0	
1482	clean	72	72	0		0	
1483	clean	40	40	0		0	
1484	clean	4	4	0		0	
1485	clean	14	14	0		0	
1486	clean	6	6	0		0	
1487	clean	16	16	0		0	
1488	clean	15	15	0		0	
1489	clean	11	11	0		0	
1490	clean	10	10	0		0	
1491	clean	7	7	0		0	
1492	clean	8	8	0		0	
1493	clean	7	7	0		0	
1494	clean	11	11	0		0	
1495	clean	14	14	0		0	
1496	clean	6	6	0		0	
1497	clean	12	12	0		0	
1498	clean	10	10	0		0	
1499	clean	5	5	0		0	
1500	clean	15	15	0		0	
1501	clean	22	22	0		0	
1502	clean	50	50	0		0	
1503	clean	20	20	0		0	
1504	clean	85	85	0		0	
1505	clean	27	27	0		0	
1506	clean	57	57	0		0	
1507	clean	78	78	0		0	
1508	clean	94	94	0		0	
1509	clean	45	45	0		0	
1510	clean	24	24	0		0	
1511	clean	2	2	0		0	
1512	clean	8	8	0		0	
1513	clean	19	19	0		0	
1514	clean	32	32	0		0	
1515	clean	26	26	0		0	
1516	clean	7	7	0		0	
1517	clean	7	7	0		0	
1518	clean	45	45	0		0	
1519	clean	13	13	0		0	
1520	clean	6	6	0		0	
1521	clean	5	5	0		0	
1522	clean	5	5	0		0	
1523	clean	4	4	0		0	
1524	clean	81	81	0		0	
1525	clean	5	5	0		0	
1526	clean	6	6	0		0	
1527	clean	6	6	0		0	
1528	clean	11	11	0		0	
1529	clean	7	7	0		0	
1530	clean	9	9	0		0	
1531	clean	3	3	0		0	
1532	clean	12	12	0		0	
1533	clean	6	6	0		0	
1534	clean	12	12	0		0	
1535	clean	24	24	0		0	
1536	clean	18	18	0		0	
1537	clean	36	36	0		0	
1538	clean	12	12	0		0	
1539	clean	51	51	0		0	
1540	clean	24	24	0		0	
1541	clean	29	29	0		0	
1542	clean	6	6	0		0	
1543	clean	4	4	0		0	
1544	clean	18	18	0		0	
1545	clean	6	6	0		0	
1546	clean	45	45	0		0	
1547	clean	54	54	0		0	
1548	clean	10	10	0		0	
1549	clean	8	8	0		0	
1550	clean	9	9	0		0	
1551	clean	7	7	0		0	
1552	clean	6	6	0		0	
1553	clean	5	5	0		0	
1554	clean	7	7	0		0	
1555	clean	7	7	0		0	
1556	clean	5	5	0		0	
1557	clean	7	7	0		0	
1558	clean	4	4	0		0	
1559	clean	4	4	0		0	
1560	clean	3	3	0		0	
1561	clean	6	6	0		0	
1562	clean	24	24	0		0	
1563	clean	9	9	0		0	
1564	clean	12	12	0		0	
1565	clean	14	14	0		0	
1566	clean	12	12	0		0	
1567	clean	4	4	0		0	
1568	clean	2	2	0		0	
1569	clean	10	10	0		0	
1570	clean	14	14	0		0	
1571	clean	7	7	0		0	
1572	clean	4	4	0		0	
1573	clean	8	8	0		0	
1574	clean	8	8	0		0	
1575	clean	12	12	0		0	
1576	clean	16	16	0		0	
1577	clean	11	11	0		0	
1578	clean	12	12	0		0	
1579	clean	3	3	0		0	
1580	clean	8	8	0		0	
1581	clean	15	15	0		0	
1582	clean	4	4	0		0	
1583	clean	5	5	0		0	
1584	clean	10	10	0		0	
1585	clean	8	8	0		0	
1586	clean	8	8	0		0	
1587	clean	4	4	0		0	
1588	clean	9	9	0		0	
1589	clean	20	20	0		0	
1590	clean	33	33	0		0	
1591	clean	92	92	0		0	
1592	clean	39	39	0		0	
1593	clean	13	13	0		0	
1594	clean	47	47	0		0	
1595	clean	7	7	0		0	
1596	clean	2	2	0		0	
1597	clean	5	5	0		0	
1598	clean	12	12	0		0	
1599	clean	35	35	0		0	
1600	clean	27	27	0		0	
1601	clean	8	8	0		0	
1602	clean	7	7	0		0	
1603	clean	4	4	0		0	
1604	clean	34	34	0		0	
1605	clean	54	54	0		0	
1606	clean	7	7	0		0	
1607	clean	12	12	0		0	
1608	clean	24	24	0		0	
1609	clean	11	11	0		0	
