gene	score
19179	7.70388572327159
486	7.34018174470164
10642	6.98292934694291
16215	6.95204610507376
17432	6.79050880561372
19083	6.46810718881406
6983	6.40049749634577
2980	6.35524084013315
2439	6.17207141944248
15081	6.14049875528141
3190	5.99939417730885
19002	5.99060473715814
11465	5.97674644004531
13741	5.90996559536069
12504	5.88427760346415
13903	5.86531717343101
15099	5.77512625193383
12115	5.7669718298416
13123	5.7621356990106
17485	5.75869391956902
13124	5.6577193577469
18687	5.63759850920928
11146	5.57381972616746
13240	5.57276318152833
14003	5.52185534799512
15904	5.52047755720471
18548	5.50421461614537
1660	5.50196679900278
14239	5.49253753805572
9792	5.47554283938554
8863	5.42011854382527
7001	5.39453812535815
19034	5.39345980350468
1490	5.38653105357611
15713	5.38406496277593
1258	5.3800435466819
14171	5.35451340566473
10573	5.34708815390753
18628	5.34164873582693
13305	5.30808785669027
15977	5.3052331013072
14406	5.29233546102151
17989	5.28784654280027
6766	5.27030055800434
19236	5.26091135829536
6771	5.24867544509423
5317	5.23230864882094
16636	5.18309647622958
8228	5.1626797321376
14619	5.15803288074995
15614	5.15176315639279
1254	5.11338807433177
965	5.11174898340121
7792	5.09625702599223
19043	5.08840763583225
14782	5.08136862185558
15748	5.07512954966556
16624	5.06639625575255
18275	5.04710048036221
12679	5.02645369040073
435	5.01922891988696
12763	5.01619360779696
18905	5.01350861379324
589	5.00714405036783
4100	5.00665125592337
18811	5.00463395123516
19324	5.00164176206831
3217	5.00089061829069
440	4.99575750798055
2896	4.99005053663044
18090	4.98035671583141
3465	4.97110987185743
18390	4.95044366251922
5352	4.94324099616274
18155	4.93533273008789
4124	4.92733746121398
14118	4.92555105131748
19169	4.91989893776935
1432	4.91807850069104
3364	4.91320762746288
2883	4.91217070952825
505	4.90098092555758
18871	4.89310037350471
16572	4.88436552143903
3516	4.8769005854481
697	4.87444189086438
11839	4.86559774266604
563	4.86270497911571
16621	4.85502887789616
13127	4.83926695788614
18412	4.81906818040615
9054	4.81143522202441
3090	4.80321887114494
17580	4.79870240402658
4510	4.78317817105386
2427	4.78223745763473
658	4.78018594416936
5512	4.77693019402682
1581	4.76945301270951
13430	4.76709298170883
11851	4.7646460821495
13993	4.73863338679907
13694	4.73128623352657
4612	4.72991497647497
1379	4.72307496686223
7513	4.72301479636256
10103	4.71499865774462
15987	4.71445419062209
18643	4.71327351456906
3064	4.71126911739795
6708	4.7011364128149
14454	4.69892209655846
17102	4.6847435177887
16635	4.68345193743476
16627	4.68247548633403
18379	4.67678073142857
1586	4.6725937841056
683	4.6721767318907
11778	4.65596142298975
18970	4.65146620756118
11075	4.65030569158653
411	4.64654450676685
11404	4.64341616501217
5725	4.63947573839596
16894	4.6388797499691
1137	4.63793816750525
18638	4.62518621599427
11055	4.61814384255876
630	4.61752577135223
17294	4.61405197619172
15115	4.60717115410646
7488	4.60303462914691
13656	4.58431444467647
2857	4.57632469272955
16622	4.57424606791826
14039	4.57318154965597
1158	4.57191367911918
18505	4.55946032098959
16475	4.55777428493361
12314	4.54773855923279
14173	4.53404321313475
13182	4.53332031144518
13836	4.53322566694062
11445	4.51438930695496
18678	4.49865520856375
16166	4.48998868035421
9874	4.48361908915731
15118	4.48222276917141
8698	4.4810375851638
856	4.47013766024725
2631	4.46606115623988
4891	4.46439274259235
14789	4.45462861314725
14148	4.45450604782025
16577	4.44269120451703
8091	4.43805041215647
3517	4.43801313783802
16588	4.43522456958024
18062	4.41053119656313
6914	4.40362697797444
2534	4.40141372312402
