gene	score
18611	6.34637980099243
19323	6.01609171920157
12767	5.92446013797997
10335	5.9040479130959
16756	5.66059786108341
6150	5.65445493622171
5758	5.6211108427229
10685	5.59185516689095
5002	5.52840095133679
5003	5.51490186765428
3729	5.50286792615309
18836	5.35446598038937
5344	5.3078156631403
9052	5.3019196482927
2458	5.28806357299074
3685	5.28210221435392
1815	5.23782465314116
13709	5.21075996803364
8996	5.20279953749351
10686	5.20249697942722
153	5.16141017923162
10873	5.1020880626383
14232	5.1019462373375
4926	5.08732709841096
18231	5.05896981565768
6102	5.0584397963993
5001	5.05742416114066
4981	5.03505872345246
18305	5.02722182386414
1773	5.0089092534441
7011	4.98847920601263
3422	4.98693688642992
3578	4.96671693761677
8320	4.95062334561258
11721	4.94254784290296
3419	4.93593368182807
9040	4.91788302270365
12190	4.90489331169475
12307	4.87684012450382
3425	4.87102737545679
3576	4.84248697537841
2156	4.82353174906772
10606	4.81455065969799
11571	4.81018384752386
11660	4.80894107023832
9119	4.8070310587292
12979	4.80571975822356
6148	4.80175950883084
3417	4.76114188136244
88	4.76002102259824
15701	4.75769708087183
19607	4.7553365733252
16807	4.75257411660823
13334	4.75140115532092
5228	4.72964058396442
13562	4.72960259451143
14819	4.71594435827252
11946	4.68006743227136
3584	4.65706418274166
8003	4.65486173111824
4844	4.64886636614989
4005	4.64614480439066
14237	4.64039179063902
3428	4.63242390391621
1665	4.62590055786107
3571	4.62374201541079
18899	4.6127140102656
17473	4.60896698816983
19679	4.58323223998465
18438	4.57378706984528
11743	4.56802564618373
12705	4.5626125599269
16755	4.56155271079777
3245	4.55634107209851
16032	4.5515821132021
19486	4.54449154251764
2984	4.54328802792378
16757	4.54200520448765
9177	4.53554465807408
13385	4.52235942291379
12283	4.51075276448928
9806	4.4985200649897
9185	4.49554546606504
1107	4.48982329139036
560	4.48852314143923
7010	4.48671820315098
16461	4.47554352140725
563	4.47170759611401
18125	4.46284022068738
4424	4.45899407858224
11212	4.4584477706981
5905	4.45585824114545
7613	4.45423918152627
15126	4.45065046435276
18684	4.4491853247863
12902	4.44775447261014
6596	4.44557424489378
6765	4.44376857875057
17755	4.42848120413302
7924	4.42105248261588
18307	4.41628856396174
3394	4.40690305054509
2014	4.40355209448786
11177	4.38233428554464
11037	4.38096798577926
5408	4.37778808544272
1547	4.3755597401824
15199	4.37256755772675
16790	4.3624308087683
16021	4.35788500157822
5333	4.35276124521651
232	4.3526484263486
9030	4.35049260175805
16960	4.34418023778832
14180	4.34355872521254
17916	4.33719560801595
7409	4.33356359359322
7523	4.33315594290758
12139	4.32936272755164
5716	4.3219766446484
18674	4.32097920882228
1126	4.31951621680496
13944	4.3164891144186
9048	4.31374229599047
12141	4.31283965008159
1807	4.31242026504369
14549	4.30308229495744
6587	4.30279250084
9025	4.30260000395306
14039	4.30006152884942
14540	4.29560316431011
19255	4.29277195802641
200	4.29142731888586
19237	4.28853323092849
7407	4.28758345233464
101	4.28674454951446
17244	4.28594964097165
3582	4.28459955789891
6839	4.27983408553367
13209	4.27818474701867
10310	4.2775131400913
6189	4.27361954587982
10138	4.2691698366936
4776	4.26145621837597
11927	4.26053162552894
9634	4.26045036440199
992	4.25967748175694
12181	4.25658143724401
10629	4.25244946048255
3546	4.24474031966358
8050	4.244484107914
1204	4.24374752733498
12100	4.24288128917781
14547	4.24149796410388
14015	4.24119693500336
5629	4.23137061853984
13082	4.22824394717926
11257	4.22770105230129
6419	4.22699621123401
1664	4.22375762405171
5651	4.22096835103215
15703	4.21978537446021
11790	4.21504291990849
11573	4.2047617806801
12860	4.19798238132499
450	4.19029043622874
3581	4.18951848639232
17397	4.18890095771911
1183	4.1860764302665
12952	4.18563365805505
2618	4.1853009088423
3397	4.18103735193517
19247	4.18081304096545
19263	4.1784561046749
11478	4.17523314808349
4741	4.17193258632165
18843	4.17115278345849
17660	4.17055059973631
14530	4.17050562542463
11369	4.15698537974706
9675	4.15126684839003
6957	4.15074653919356
3962	4.14057334973209
6717	4.13770672892369
10245	4.1330078504798
10690	4.13237969744085
6347	4.13226516792005
19617	4.13137010150007
17642	4.12690380710074
10518	4.11940165857211
9037	4.11881733043523
9398	4.11154702828936
14651	4.11054826174416
15871	4.10815255503404
19159	4.10459100422095
5887	4.10151935078625
7701	4.09663920023698
11566	4.09317574161099
8297	4.09285203205726
1936	4.08919150905983
5513	4.08740687490062
7033	4.08617469912806
1146	4.08589377544171
14820	4.07588252262038
13644	4.07453604443577
8328	4.06992769126035
2154	4.06970536864005
3606	4.06652327804859
16124	4.06188442795944
7122	4.05878649187849
7439	4.05583721455817
16470	4.05277428184824
16834	4.04728432515375
16463	4.04495804583741
5207	4.04325168816811
5710	4.03668635878593
8984	4.03616683617569
2905	4.03557683161718
1299	4.03173459061389
10298	4.02896583327991
11089	4.02623988827927
1604	4.02490133558578
17109	4.02080440774918
4576	4.01886973703014
6183	4.01192055133426
5706	4.00953958019919
8988	4.00939774349789
3661	4.00685400608223
14541	4.00453732263053
15040	4.00402950045105
11148	4.00138693714339
16672	4.00038230457327
4990	3.99634533813057
14233	3.99559030702901
3609	3.99178084445372
5648	3.98862506379455
17591	3.98303078461684
11208	3.98245117048569
13967	3.98187595165651
13087	3.98055230720009
14248	3.97919068158869
10694	3.97689052480962
9006	3.97509507365749
1605	3.9657545019417
9574	3.96562764418349
17646	3.95911186360531
6155	3.9581810415157
3760	3.95416028743627
4721	3.94937229300069
6124	3.94885667624852
12212	3.9478687885596
3797	3.94021067834891
8732	3.93926678926828
2760	3.93762126358617
385	3.93739704572885
5452	3.93658311608045
2366	3.93608382636497
5315	3.93501596789355
12856	3.9348446208658
1878	3.93450821079828
5048	3.93343926464437
8762	3.93216188151084
13210	3.93026448909872
