gene	score
4060	10.5253182402821
6817	10.5010932213703
5153	10.4515554679142
1902	9.62746279359294
19594	9.60447456653455
9055	9.20698501241247
6447	9.13113366797646
16500	8.99339568452741
1970	8.95221780368503
8301	8.94740292933011
18246	8.90768918240938
16868	8.9061000113998
11245	8.90533901492815
16314	8.86134090940054
13050	8.79168759418811
14318	8.75336876777565
7979	8.73952051620315
3723	8.7320898480186
6166	8.58444570414755
5002	8.53884448622452
18621	8.4722301542104
10799	8.46337472819938
15785	8.39095461534222
17836	8.32940442174936
19693	8.31696258206199
8118	8.28669427971999
8463	8.28166786768538
13344	8.24513789329856
12279	8.22692914143191
17888	8.19606841462996
15944	8.19157360173244
3487	8.17302223046091
3193	8.16505715282051
8013	8.16452772641181
14463	8.08080153191305
15361	8.07271034769557
1344	8.05234281189933
14322	8.04242903650583
19442	8.03835279872891
6681	8.01028692231751
3513	7.96596136097563
5001	7.9567215195585
8453	7.94462278161186
240	7.94405398861893
14256	7.93787816423785
10993	7.928466274881
19592	7.9148057220681
8173	7.89951711129258
16524	7.89453567619956
10564	7.8855774206105
15356	7.86019513051768
4474	7.84318380282042
4332	7.83577527112239
16531	7.81964018647843
6828	7.79957343232392
15807	7.78326656724029
15791	7.77689152229518
5165	7.77384511994898
3462	7.75669061170252
8615	7.75477634685111
16372	7.74833815265059
18167	7.74659434521773
10197	7.71690118843291
1424	7.71445871081747
16394	7.71127036108759
17682	7.70586959894328
18467	7.70230903070946
10997	7.69950492638049
1297	7.67419944450463
7187	7.67331302109348
5807	7.66597156765337
16388	7.66548963802423
18151	7.66291045780784
17946	7.65260998132525
824	7.609380893524
17188	7.57966451239393
6834	7.57872487519648
5786	7.56114697141412
462	7.53147709508069
15610	7.52915757530193
16912	7.523045354718
16342	7.49731974517367
18462	7.49002240958763
13616	7.46238540220597
9146	7.46020167490365
8860	7.43621657663327
9167	7.43043430083533
16274	7.42352799781174
15214	7.42321446561302
15800	7.41926144854144
5832	7.4112342479408
3929	7.37666831388553
3722	7.36179792028942
17318	7.35785690007118
4231	7.35596775752943
256	7.34136958417488
747	7.33369901118741
16277	7.326741839066
17977	7.32172035791126
7314	7.31958933675865
5316	7.27288841133334
1484	7.27039208051843
11759	7.27029803658803
6943	7.25981989669561
8066	7.25805782593987
6578	7.25616166962775
13572	7.25576585684807
16295	7.24949873028414
1877	7.24437019597367
8472	7.22734735063469
8580	7.22355670179157
10670	7.22097757586173
16181	7.2158883905039
3019	7.21229965222584
14251	7.20710712947939
8685	7.2030235880018
4033	7.19812564079644
19276	7.19326912282589
17459	7.17866699044102
3457	7.17757791659524
1981	7.17516284579011
3251	7.17471886281059
8113	7.16612171653421
17331	7.15722164021856
9168	7.15648097441566
3020	7.14726814317968
10829	7.1409855655797
10571	7.13858472658328
4103	7.12563282475353
3964	7.12550796123558
16223	7.12321832856189
8417	7.10615456885479
6864	7.09063649970166
565	7.08710902931012
1337	7.03952124174593
2088	7.03289213744548
6435	7.03245358319296
15949	7.02922951471153
15077	7.02607417343543
10371	7.02389205845827
6582	7.02371566159046
1002	7.00522481153953
13142	7.00478593474625
8136	7.00275971553238
11519	6.97668861011823
8310	6.97525489764654
18685	6.97051539130272
11324	6.96149452719095
14759	6.95790072382555
3615	6.95472662108805
1070	6.93820233634578
2298	6.93611953366826
18092	6.9127417719232
1742	6.90485954503522
17000	6.90155503755232
14581	6.89807547625813
10307	6.8930848517161
13641	6.88917723002295
14417	6.88434204191168
13522	6.8710972999722
8471	6.86692062942369
129	6.86551311972484
14146	6.86430834510614
12222	6.85944826438779
4974	6.85835621086975
6670	6.85681736576039
7198	6.85636234677003
4677	6.85631024870862
11429	6.84843894897205
9346	6.84488148807824
2562	6.84385509044841
13917	6.83694705544926
15704	6.83583673170591
15961	6.83508970247404
11009	6.82806363274761
15981	6.81791444104321
7025	6.80983759721023
17500	6.80766905476221
4527	6.80415881574759
12195	6.75249580451328
17870	6.75089260750215
3244	6.74686221713039
8484	6.74547636499063
17146	6.7413385836271
16916	6.73683396013085
13766	6.73180385356152
6448	6.72782307385308
11547	6.72769092710477
12242	6.72738216705533
10989	6.72275981470544
13141	6.71600571871955
14291	6.71212539935042
4728	6.70714021003599
8349	6.70082734641128
4794	6.69853267837643
